DCM;-;0,889;00:00,0;;;;;;;;;;KNN;1;0,995;00:16,0;;KNN;1;0,994;00:15,9;;;;;;;;;;;;;;MLP;|[80; 80]|;0,995;09:09,5;12000;;;;;;;;;;;;;MLP;|[70; 70]|;41;0,99804;3:02:56.161402;14000;;;;;;;;;;KNN;1;41;0,99728;0:08:17.187817;;;;;;
DCM;-;0,892;00:00,0;;;;;;;;;;KNN;1;0,997;00:16,6;;KNN;1;0,998;00:15,8;;;;;;;;;;;;;;MLP;|[90; 90]|;0,425;58:36,3;4987;;;;;;;;;;;;;MLP;|[70; 70]|;42;0,99808;3:02:57.867466;14000;;;;;;;;;;KNN;1;42;0,99748;0:08:24.897048;;;;;;
DCM;-;0,903;00:00,0;;;;;;;;;;KNN;1;0,999;00:15,9;;KNN;1;0,996;00:16,3;;;;;;;;;;;;;;MLP;|[100; 100]|;0,198;07:52,8;365;;;;;;;;;;;;;MLP;|[70; 70]|;43;0,99836;3:02:59.557849;14000;;;;;;;;;;KNN;1;43;0,9978;0:08:21.075443;;;;;;
DCM;-;0,89;00:00,0;;;;;;;;;;KNN;1;0,999;00:15,9;;KNN;1;0,995;00:16,4;;;;;;;;;;;;;;MLP;|[110; 110]|;0,19;01:07,7;49;;;;;;;;;;;;;MLP;|[70; 70]|;44;0,99812;3:03:01.282275;14000;;;;;;;;;;KNN;1;44;0,99764;0:08:19.837922;;;;;;
DCM;-;0,905;00:00,0;;;;;;;;;;KNN;1;0,997;00:15,9;;KNN;1;0,995;00:15,8;;;;;;;;;;;;;;MLP;|[120; 120]|;0,206;00:08,7;5;;;;;;;;;;;;;MLP;|[70; 70]|;45;0,99784;3:03:02.982557;14000;;;;;;;;;;KNN;1;45;0,99748;0:08:21.512263;;;;;;
DCM;-;0,911;00:00,0;;;;;;;;;;KNN;1;0,996;00:16,4;;KNN;1;0,997;00:15,7;;;;;;;;;;;;;;MLP;|[100; 100]|;0,202;00:09,5;6;;;;;;;;;;;;;MLP;|[70; 70]|;46;0,99808;3:03:04.773075;14000;;;;;;;;;;KNN;1;46;0,99764;0:08:26.064103;;;;;;
DCM;-;0,906;00:00,0;;;;;;;;;;KNN;1;0,997;00:16,4;;KNN;1;0,997;00:15,7;;;;;;;;;;;;;;MLP;|[110; 110]|;0,011;00:26,1;18;;;;;;;;;;;;;MLP;|[70; 70]|;47;0,99784;3:03:06.470186;14000;;;;;;;;;;KNN;1;47;0,99752;0:08:25.329249;;;;;;
DCM;-;0,903;00:00,0;;;;;;;;;;KNN;11;0,999;00:16,2;;KNN;11;0,998;00:16,4;;;;;;;;;;;;;;MLP;|[120; 120]|;0,214;00:13,0;8;;;;;;;;;;;;;MLP;|[70; 70]|;48;0,99832;3:03:08.189396;14000;;;;;;;;;;KNN;1;48;0,99732;0:08:23.451986;;;;;;
DCM;-;0,891;00:00,0;;;;;;;;;;KNN;11;0,998;00:15,7;;KNN;11;0,997;00:16,1;;;;;;;;;;;;;;MLP;|[15; 15]|;0,998;16:31,1;12000;;;;;;;;;;;;;MLP;|[70; 70]|;49;0,99792;3:03:09.887458;14000;;;;;;;;;;KNN;1;49;0,9972;0:08:19.325282;;;;;;
DCM;-;0,895;00:00,0;;;;;;;;;;KNN;11;0,997;00:15,9;;KNN;11;0,998;00:16,0;;;;;;;;;;;;;;MLP;|[15; 15]|;0,996;16:19,4;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KNN;11;0;0,99744;0:08:21.529141;;;;;;
